Hotel Name,City,Country,Max Temp,Lat,Lng,Hotel Name
353,Makakilo City,US,79.68,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
355,Myitkyina,MM,55.17,25.3833,97.4,New Light Hotel
358,Puerto Madryn,AR,64.13,-42.7692,-65.0385,Hotel Gran Palace
360,Ellensburg,US,45.46,46.9965,-120.5479,Hotel Windrow
361,Souillac,MU,77.38,-20.5167,57.5167,Hotel SkylineInn
363,Manado,ID,75.97,1.487,124.8455,Swiss Belhotel
364,Benghazi,LY,64.18,32.1167,20.0667,ترجاب
365,Touros,BR,79.27,-5.1989,-35.4608,Pousada Atlântico
366,Namatanai,PG,81.18,-3.6667,152.4333,Namatanai Hotel
367,Lobito,AO,77.74,-12.3481,13.5456,HOTEL CHIK CHIK LOBITO I
373,Owando,CG,76.64,-0.4819,15.8999,Hotel de l'Eglise
377,Sibolga,ID,75.6,1.7427,98.7792,Hotel Prima Indah
379,Nouadhibou,MR,66.18,20.931,-17.0347,Hotel valencia
383,Ponta Delgada,PT,61.52,37.7333,-25.6667,Hotel Talisman
384,Karratha,AU,80.38,-20.7377,116.8463,Karratha International Hotel
385,Anloga,GH,80.11,5.7947,0.8973,Hotel de White House
386,Tabou,CI,80.49,4.423,-7.3528,hôtel le rochet
387,Namibe,AO,71.96,-15.1961,12.1522,Hotel Chik Chik Namibe
389,Sterling,US,43.09,39.0062,-77.4286,Residence Inn by Marriott Dulles Airport at Dulles 28 Centre
392,Vila Franca Do Campo,PT,61.21,37.7167,-25.4333,Vinha d'Areia Beach Hotel
397,Pitsunda,GE,48.38,43.1592,40.3378,"""Киараз Старт"""
400,Mitsamiouli,KM,80.8,-11.3847,43.2844,Hotel le Paradis
402,Del Rio,US,65.12,29.3627,-100.8968,La Quinta Inn by Wyndham Del Rio
407,Sao Miguel Do Araguaia,BR,73.22,-13.275,-50.1628,Hotel São Miguel
409,Kostalexis,GR,52.29,38.8579,22.3646,Τεμπέλης
412,Aswan,EG,60.1,24.0934,32.907,Yaseen hotel
413,La Palma Del Condado,ES,61.14,37.3861,-6.5523,Tierra de Vinos
414,Madang,PG,75.4,-5.2246,145.7966,Madang Star International
415,Moron,AR,88.05,-34.6534,-58.6198,La Esquina
416,Kununurra,AU,73.38,-15.7667,128.7333,Kununurra Country Club Resort
420,Paita,PE,74.19,-5.0892,-81.1144,Victor's
425,Mao,ES,52.36,39.8885,4.2658,Eurohotel
427,Baghdad,IQ,51.71,33.3406,44.4009,AL Bedaa Hotel
430,Camana,PE,73.69,-16.6228,-72.7111,Caja Arequipa
431,Stornoway,GB,48.16,58.2093,-6.3865,County Hotel
432,Laguna,US,56.14,38.421,-121.4238,Holiday Inn Express & Suites
436,Rock Sound,BS,76.44,24.9,-76.2,Rock Sound Club
438,Puerto Rico,AR,68.99,-26.796,-55.024,Suizo
441,Boa Vista,BR,85.98,2.8197,-60.6733,Aipana Plaza Hotel
443,Odweyne,SO,68.14,9.4092,45.064,فندق المدينه
445,Skibbereen,IE,50.11,51.55,-9.2667,West Cork Hotel
446,Naze,JP,54.52,28.3667,129.4833,ビジネス旅館畠山
448,Dharchula,IN,45.43,29.85,80.5333,अपि हिमाल होटल
449,Impfondo,CG,75.58,1.6381,18.0667,Tropicana
450,Lasa,IT,40.08,46.6166,10.7002,"Hotel ""Drei Kreuz"""
453,Hope Mills,US,52.12,34.9704,-78.9453,Holiday Inn Express & Suites Hope Mills-Fayetteville Arpt
458,Port Augusta,AU,69.21,-32.5,137.7667,Hotel Commonwealth
459,Wenling,CN,42.94,28.3669,121.36,Koro
463,Viedma,AR,71.2,-40.8135,-62.9967,Níjar
464,Cairns,AU,77.07,-16.9167,145.7667,Cairns Queens Court Accommodation
465,Lawigan,PH,74.07,10.487,122.0354,The Assemblage Point Resort and Convention Hub
467,Port Lincoln,AU,60.3,-34.7333,135.8667,Boston Hotel
469,Jaisalmer,IN,60.89,26.9147,70.9181,Jeet Mahal
471,Muroto,JP,51.12,33.2833,134.15,民宿うらしま
472,Buta,CD,70.18,2.7858,24.73,Hôtel Rubi
474,Geraldton,AU,59.41,-28.7667,114.6,Ocean Centre Hotel
476,Ucluelet,CA,48.51,48.9329,-125.5528,Black Rock Oceanfront Resort
478,Lingao,CN,65.66,19.9103,109.6859,小城之春假日酒店
480,Pont-Audemer,FR,49.12,49.35,0.5167,Hôtel Acadine
481,Wanxian,CN,41.99,30.8039,108.3897,DoubleTree by Hilton Hotel Chongqing Wanzhou
482,Bolgatanga,GH,76.33,10.7856,-0.8514,Black Star Hotel
483,Ambon,ID,77.23,-3.6954,128.1814,Hotel Hero
484,Saint George,US,58.42,37.1041,-113.5841,"The Advenire, an Autograph Collection Hotel"
487,San Bartolome,ES,61.27,27.9248,-15.5733,Las Tirajanas San Bartolomé de Tirajana
492,Jilotepec,MX,55.33,19.6,-96.9333,Gamma Fiesta Americana
495,Lethem,GY,85.86,3.3803,-59.7968,Hotel Amazonas
496,Aguimes,ES,68.63,27.9054,-15.4461,Hotel Villa de Agüimes
499,Port Lavaca,US,59.32,28.615,-96.6261,La Quinta Inn & Suites
500,Basco,PH,72.43,20.4487,121.9702,Tawsen Hotel
502,Isangel,VU,84.31,-19.55,169.2667,Tanna Lodge
503,Teruel,ES,40.39,40.6667,-0.6667,Hotel La Parra
506,Jasper,US,44.24,37.2001,-94.3502,Econo Lodge
507,Vincennes,FR,46.87,48.85,2.4333,Le Home
508,Isla Vista,US,59.77,34.4133,-119.861,The Club & Guest House
509,Payakumbuh,ID,67.84,-0.2202,100.6308,Hotel Mangkuto
510,Zatoka,UA,44.73,46.0725,30.4654,Жемчужина Затоки
513,Laurel,US,42.48,39.0993,-76.8483,Quality Inn & Suites
515,Grand Gaube,MU,78.39,-20.0064,57.6608,Coco Villa
518,Rafsanjan,IR,47.43,30.4067,55.9939,هتل جهانگردی
521,Wonthaggi,AU,79.83,-38.6044,145.5913,Wonthaggi Workmens Club
522,Fare,PF,80.49,-16.7,-151.0167,hôtel Maitai Lapita Village
523,Nara,JP,42.49,34.6851,135.8049,JWマリオットホテル奈良
529,Voh,NC,77.65,-20.9667,164.7,Le Vook
532,Cabra,ES,54.5,37.4725,-4.4421,Pensión Guerrero
535,Dorado,PR,84.09,18.4588,-66.2677,Embassy Suites Dorado
536,Pehowa,IN,48.67,29.9833,76.5833,Hotel Legend
539,Encinitas,US,73.51,33.037,-117.292,Days Inn by Wyndham Encinitas Moonlight Beach
540,Eyl,SO,72.88,7.9803,49.8164,فندق ايل دابي
541,Marmande,FR,50.76,44.5,0.1667,Auberge du Lion d'Or
545,Presidencia Roque Saenz Pena,AR,72.09,-26.7852,-60.4388,Hotel Presidente
546,Kazerun,IR,50.09,29.6195,51.6541,هتل بیشاپور
547,Acajutla,SV,85.05,13.5928,-89.8275,Hotel Lara
553,Chuy,UY,70.43,-33.6971,-53.4616,Alerces
554,Iglesias,IT,52.79,39.3114,8.535,Euro Hotel
555,Kamina,CD,64.0,-8.7386,24.9906,Hôtel DG
556,General Roca,AR,86.63,-39.0333,-67.5833,Hotel Austral
557,Ambilobe,MG,74.59,-13.2,49.05,Hôtel National
559,Nha Trang,VN,69.8,12.25,109.1833,Den Long Đỗ
561,Puerto Colombia,CO,87.89,10.9878,-74.9547,Hotel Puerto Colombia
562,Bosanska Kostajnica,HR,42.48,45.2159,16.5444,Central
564,Bull Savanna,JM,78.3,17.8868,-77.5902,Junction Guest House
565,Galle,LK,74.55,6.0367,80.217,Jungle Hostel Villa
566,Labuan,MY,75.56,5.2767,115.2417,Labuan Avenue Hotel
569,Tabas,IR,50.14,33.5959,56.9244,هتل امیر
570,Masyaf,SY,43.9,35.0653,36.3406,مصياف السياحي
571,Scalea,IT,57.72,39.813,15.7956,Hotel Scalea
574,Tutoia,BR,79.99,-2.7619,-42.2744,Pousada San Vicente
576,Palu,ID,75.9,-0.8917,119.8707,Ujung Pandang Hotel
577,Antalaha,MG,72.41,-14.9003,50.2788,Hôtel Florida
