City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Hithadhoo,MV,2022-12-20 19:30:08,-0.6,73.0833,80.85,70,100,11.65
94,Qasigiannguit,GL,2022-12-20 19:30:08,68.8193,-51.1922,21.45,73,31,5.01
95,Safford,US,2022-12-20 19:26:32,32.834,-109.7076,56.32,30,0,9.22
96,Constitucion,CL,2022-12-20 19:30:09,-35.3333,-72.4167,67.1,65,20,7.45
97,Hermanus,ZA,2022-12-20 19:30:10,-34.4187,19.2345,63.81,68,6,15.37
98,Faanui,PF,2022-12-20 19:30:10,-16.4833,-151.75,80.4,75,16,17.2
99,Cidreira,BR,2022-12-20 19:30:11,-30.1811,-50.2056,71.4,83,76,15.28
100,Tuatapere,NZ,2022-12-20 19:30:12,-46.1333,167.6833,50.27,76,100,3.18
101,Bengkulu,ID,2022-12-20 19:30:12,-3.8004,102.2655,76.62,90,98,5.46
102,Maniitsoq,GL,2022-12-20 19:30:13,65.4167,-52.9,19.15,60,10,6.31
103,Upernavik,GL,2022-12-20 19:30:14,72.7868,-56.1549,9.32,98,100,14.74
104,Laguna,US,2022-12-20 19:30:14,38.421,-121.4238,50.18,81,75,3.44
105,Allapalli,IN,2022-12-20 19:30:15,19.4167,80.0667,60.3,44,12,1.9
106,Margate,GB,2022-12-20 19:27:56,51.3813,1.3862,45.7,88,100,1.01
107,Varfurile,RO,2022-12-20 19:30:15,46.3167,22.5167,34.43,43,63,3.38
108,Kitimat,CA,2022-12-20 19:30:16,54.0524,-128.6534,3.9,56,2,1.01
109,Lahij,YE,2022-12-20 19:30:16,13.1667,44.5833,71.28,71,2,5.73
110,Atambua,ID,2022-12-20 19:30:17,-9.1061,124.8925,72.93,88,100,2.95
111,Itarema,BR,2022-12-20 19:30:17,-2.9248,-39.9167,82.18,68,89,14.99
112,Port Elizabeth,ZA,2022-12-20 19:30:18,-33.918,25.5701,63.32,75,0,4.0
113,Calabozo,VE,2022-12-20 19:30:18,8.9242,-67.4293,86.49,47,96,8.08
