City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Dikson,RU,2022-12-27 20:36:12,73.5069,80.5464,-20.87,98,49,7.81
102,Aksu,CN,2022-12-27 20:36:13,41.1231,80.2644,20.14,56,0,2.19
103,Kaeo,NZ,2022-12-27 20:36:13,-35.1,173.7833,76.32,75,1,5.28
104,Mandera,KE,2022-12-27 20:36:14,3.9366,41.867,86.9,31,71,11.36
105,Fukue,JP,2022-12-27 20:36:14,32.6881,128.8419,49.84,60,82,18.7
106,Nefteyugansk,RU,2022-12-27 20:36:15,61.0998,72.6035,-4.07,100,76,7.76
107,Trinidad,BO,2022-12-27 20:33:21,-14.8333,-64.9,91.38,62,40,9.22
108,Dingle,PH,2022-12-27 20:32:48,10.9995,122.6711,74.19,91,100,9.64
109,Atasu,KZ,2022-12-27 20:36:16,48.6814,71.6433,1.51,90,47,4.27
110,Hilo,US,2022-12-27 20:36:16,19.7297,-155.09,80.26,72,0,8.05
111,Bethel,US,2022-12-27 20:33:32,41.3712,-73.414,33.46,55,100,9.22
112,Meulaboh,ID,2022-12-27 20:36:17,4.1363,96.1285,75.15,91,97,3.69
113,Jalu,LY,2022-12-27 20:36:18,29.0331,21.5482,56.46,58,0,2.08
114,Nikolskoye,RU,2022-12-27 20:31:40,59.7035,30.7861,28.29,95,100,7.14
115,Manggar,ID,2022-12-27 20:36:18,-2.8833,108.2667,77.94,86,100,10.51
116,Puerto Del Rosario,ES,2022-12-27 20:36:19,28.5004,-13.8627,71.35,56,0,23.02
117,Katsuura,JP,2022-12-27 20:36:19,35.1333,140.3,46.26,51,14,1.52
118,Uruapan,MX,2022-12-27 20:36:20,19.4167,-102.0667,69.42,49,40,0.0
119,Ribeira Grande,PT,2022-12-27 20:36:20,38.5167,-28.7,61.77,94,75,16.11
120,Atar,MR,2022-12-27 20:32:32,20.5169,-13.0499,65.28,24,52,2.77
121,San Quintin,MX,2022-12-27 20:36:21,30.4833,-115.95,67.59,49,69,8.01
122,Clyde River,CA,2022-12-27 20:36:16,70.4692,-68.5914,-14.57,76,100,11.5
123,Vaini,TO,2022-12-27 20:36:22,-21.2,-175.2,77.16,94,40,2.3
124,Sulangan,PH,2022-12-27 20:36:22,11.1373,123.7228,79.02,83,100,21.09
125,Hollister,US,2022-12-27 20:36:23,36.8525,-121.4016,58.69,95,100,16.11
126,Saint-Philippe,RE,2022-12-27 20:32:39,-21.3585,55.7679,76.59,81,35,12.01
127,Cockburn Town,TC,2022-12-27 20:36:23,21.4612,-71.1419,82.36,65,40,14.97
128,Mar Del Plata,AR,2022-12-27 20:36:24,-38.0023,-57.5575,83.82,43,0,13.8
129,Algeciras,ES,2022-12-27 20:36:24,36.1333,-5.4505,62.28,77,99,19.57
130,Lermontovka,RU,2022-12-27 20:36:25,47.1453,134.3383,7.36,97,100,3.62
131,Butaritari,KI,2022-12-27 20:36:25,3.0707,172.7902,80.02,82,59,15.79
132,Vao,NC,2022-12-27 20:36:26,-22.6667,167.4833,78.13,85,100,17.69
133,Taltal,CL,2022-12-27 20:36:26,-25.4,-70.4833,70.47,67,21,6.71
134,Kapit,MY,2022-12-27 20:36:27,2.0167,112.9333,71.06,100,100,0.43
135,Ingham,US,2022-12-27 20:36:27,42.6,-84.3833,26.92,69,100,3.44
136,Takestan,IR,2022-12-27 20:36:27,36.0696,49.6959,32.13,80,98,6.4
137,Lebork,PL,2022-12-27 20:36:28,54.5392,17.7501,37.53,86,69,16.11
138,Tazovskiy,RU,2022-12-27 20:32:15,67.4667,78.7,-2.78,99,95,7.05
139,Vagur,FO,2022-12-27 20:36:28,61.4732,-6.8119,42.06,66,100,25.66
140,Gobabis,NA,2022-12-27 20:36:29,-22.45,18.9667,73.09,51,100,12.97
141,Soe,ID,2022-12-27 20:37:29,-9.8607,124.284,65.86,91,100,3.44
142,Tasiilaq,GL,2022-12-27 20:37:30,65.6145,-37.6368,3.36,51,0,4.9
143,Marawi,PH,2022-12-27 20:37:30,7.9986,124.2928,67.46,98,100,2.21
144,Ryotsu,JP,2022-12-27 20:37:31,38.0833,138.4333,43.45,68,100,6.82
145,Sitka,US,2022-12-27 20:37:31,57.0531,-135.33,39.09,87,75,0.0
146,Lincoln,US,2022-12-27 20:37:32,40.8,-96.667,38.01,67,0,17.27
147,Sept-Iles,CA,2022-12-27 20:33:39,50.2001,-66.3821,12.72,67,75,8.05
148,Mangrol,IN,2022-12-27 20:37:32,21.1167,70.1167,67.89,41,0,10.04
149,Rocha,UY,2022-12-27 20:37:33,-34.4833,-54.3333,74.3,34,100,10.02
150,Anadyr,RU,2022-12-27 20:37:33,64.75,177.4833,3.7,72,0,22.37
151,Elko,US,2022-12-27 20:37:34,41.0002,-115.5012,42.22,86,100,10.0
152,Half Moon Bay,US,2022-12-27 20:36:43,37.4636,-122.4286,60.58,94,100,17.27
153,Avarua,CK,2022-12-27 20:32:45,-21.2078,-159.775,82.45,78,20,4.61
154,Liverpool,GB,2022-12-27 20:35:58,53.4106,-2.9779,48.15,95,75,10.36
155,Kodiak,US,2022-12-27 20:35:06,57.79,-152.4072,35.11,69,100,11.5
156,Santa Maria,BR,2022-12-27 20:37:16,-29.6842,-53.8069,74.5,78,75,2.3
157,Buraydah,SA,2022-12-27 20:37:35,26.326,43.975,48.65,62,5,13.02
158,Mount Isa,AU,2022-12-27 20:37:36,-20.7333,139.5,74.97,100,75,12.66
159,Osoyoos,CA,2022-12-27 20:37:36,49.0331,-119.4524,37.81,93,100,4.61
160,Codrington,AU,2022-12-27 20:37:37,-38.2667,141.9667,59.88,90,100,14.38
161,Sakaiminato,JP,2022-12-27 20:37:37,35.55,133.2333,40.98,93,75,4.61
162,Esna,EG,2022-12-27 20:37:38,25.2934,32.554,57.22,44,0,6.71
163,Zambezi,ZM,2022-12-27 20:37:38,-13.5432,23.1047,64.38,93,82,4.36
164,Roald,NO,2022-12-27 20:37:39,62.5833,6.1333,37.76,56,75,4.61
